Date,F,CAT,DIS,MCD,KO,PEP,WMT,C,WFC,JPM,AAPL,IBM,PFE,JNJ,XOM,MRO,ED,T,VZ,NEM
2004-12-31,9.074142456054688,30.905593872070312,22.571470260620117,19.643638610839844,12.348753929138184,32.255252838134766,36.38348388671875,340.3495788574219,19.0797176361084,24.427865982055664,0.9832703471183777,57.60346984863281,12.782638549804688,38.64750289916992,28.72712516784668,7.876063346862793,20.32062339782715,5.402596473693848,15.850191116333008,33.3513298034668
2005-01-31,8.225178718566895,28.36418914794922,23.245365142822266,19.845836639404297,12.304269790649414,33.18213653564453,36.09418487548828,346.4952697753906,18.818777084350586,23.580650329589844,1.17412269115448,54.58829879760742,11.484884262084961,39.427520751953125,28.917678833007812,8.110607147216797,20.376358032226562,5.066375732421875,14.060426712036133,31.233558654785156
2005-02-28,7.900418281555176,30.258310317993164,22.685136795043945,20.268606185913086,12.692758560180664,33.28099822998047,35.550010681152344,340.1123352050781,18.372037887573242,23.087928771972656,1.3698610067367554,54.20070266723633,12.591053009033203,40.14900207519531,35.65395736694336,9.979116439819336,20.113208770751953,5.130343914031982,14.21055793762207,33.79441452026367
2005-03-31,7.0760273933410645,29.109119415283203,23.32655143737793,19.079938888549805,12.438507080078125,32.90871810913086,34.61854553222656,320.2984924316406,18.501985549926758,21.856151580810547,1.2724496126174927,53.49813461303711,12.581474304199219,41.10377883911133,33.564605712890625,9.890580177307129,19.845029830932617,5.051447868347168,14.024868965148926,31.799867630004883
2005-04-29,5.750466346740723,28.16107749938965,21.434776306152344,17.958675384521484,12.966859817504883,34.528385162353516,32.56671905517578,337.85516357421875,18.545305252075195,22.643131256103516,1.1011408567428589,44.716434478759766,13.0125093460083,42.00343704223633,32.117271423339844,9.816800117492676,20.362564086914062,5.166196346282959,14.305360794067383,28.578495025634766
2005-05-31,6.299632549285889,30.099245071411133,22.279172897338867,18.9573974609375,13.32206916809082,34.91314697265625,32.733367919921875,338.9342956542969,18.840723037719727,22.80901336669922,1.2141257524490356,44.34798812866211,13.45455551147461,41.26835250854492,31.811052322387695,10.285046577453613,21.684045791625977,5.075030326843262,14.137531280517578,28.106054306030273
2005-06-30,6.463752269744873,30.483036041259766,20.444232940673828,17.002836227416992,12.5422945022583,33.62361526489258,33.40562438964844,332.60321044921875,19.205617904663086,22.534669876098633,1.1240432262420654,43.5555419921875,13.30023193359375,39.97678756713867,32.529903411865234,11.320127487182617,22.317745208740234,5.155344009399414,13.80587100982666,29.45701789855957
2005-07-29,6.842135429382324,34.646339416503906,20.81771469116211,19.098316192626953,13.146130561828613,33.99769592285156,34.202667236328125,316.0951843261719,19.130765914916992,22.637746810913086,1.302375078201294,48.991180419921875,12.779410362243652,39.337154388427734,33.25442123413086,12.378535270690918,22.946687698364258,5.403171062469482,13.838504791259766,28.340017318725586
2005-08-31,6.351591110229492,35.66173553466797,20.452348709106445,19.882598876953125,13.218230247497559,34.19719696044922,31.258678436279297,318.0572204589844,18.752323150634766,21.83247184753418,1.4318499565124512,47.43791198730469,12.375590324401855,39.187870025634766,34.071537017822266,13.711931228637695,22.622573852539062,5.321405410766602,13.223995208740234,29.87209701538086
2005-09-30,6.281513214111328,37.75685119628906,19.591707229614258,20.519824981689453,13.057514190673828,35.52418518066406,30.466089248657227,330.77362060546875,18.422067642211914,21.85824203491211,1.6370539665222168,47.20254898071289,12.127884864807129,39.119869232177734,36.141990661621094,14.696992874145508,23.41346549987793,5.29709529876709,13.215913772583008,35.68769073486328
2005-10-31,5.36635160446167,33.95112609863281,19.78656578063965,19.361791610717773,12.933557510375977,37.008811950683594,32.892520904541016,332.6629638671875,18.934755325317383,23.828628540039062,1.7585886716842651,48.179325103759766,10.559077262878418,38.711856842041016,31.93283462524414,12.827086448669434,21.942596435546875,5.366360664367676,12.901023864746094,32.23011016845703
2005-11-30,5.243802070617676,37.301692962646484,20.24125099182129,21.165876388549805,12.991390228271484,37.0839729309082,33.761592864990234,356.2324523925781,19.941394805908203,24.889278411865234,2.0709755420684814,52.43540954589844,10.385408401489258,38.373939514160156,33.17635726928711,12.714879035949707,22.238046646118164,5.604864120483398,13.09345817565918,34.96660232543945
2005-12-30,4.979353904724121,37.29524612426758,19.66868019104004,21.084585189819336,12.267108917236328,37.17066192626953,32.63690185546875,356.085693359375,19.93505096435547,25.826284408569336,2.1952590942382812,48.483604431152344,11.42394733428955,37.34856414794922,32.11299514770508,13.075157165527344,22.62381362915039,5.510362148284912,12.331918716430664,40.486045837402344
2006-01-31,5.599003314971924,44.00975036621094,20.76822280883789,21.891204833984375,12.592726707458496,35.97526168823242,32.15571594238281,341.7776794433594,19.78592872619629,26.086015701293945,2.305800437927246,47.95274353027344,12.580061912536621,35.757694244384766,35.874847412109375,16.48495101928711,22.955875396728516,5.943905353546143,13.13056468963623,46.85464859008789
2006-02-28,5.200939655303955,47.36719512939453,22.96730613708496,21.82868194580078,12.77227783203125,37.18955612182617,31.632686614990234,343.873779296875,20.541013717651367,26.998188018798828,2.0914342403411865,47.44637680053711,12.953364372253418,36.02897644042969,34.122798919677734,15.214784622192383,22.681854248046875,6.319548606872559,13.976628303527832,40.12214279174805
2006-03-31,5.194413661956787,46.544010162353516,22.88525390625,21.484769821166992,12.834874153137207,36.51793670654297,33.065738677978516,350.2514343261719,20.4354305267334,27.326318740844727,1.915239691734314,48.76496505737305,12.325234413146973,37.010154724121094,34.979156494140625,16.41515350341797,21.509931564331055,6.193573474884033,14.125930786132812,39.41523742675781
